Category;AUSPRAEGUNG;Year;Month;value;VORJAHRESWERT;VERAEND_VORMONAT_PROZENT;VERAEND_VORJAHRESMONAT_PROZENT;ZWOELF_MONATE_MITTELWERT
Alkoholunfälle;insgesamt;2021;202101;;28;;;
Alkoholunfälle;insgesamt;2021;202102;;40;;;
Alkoholunfälle;insgesamt;2021;202103;;27;;;
Alkoholunfälle;insgesamt;2021;202104;;26;;;
Alkoholunfälle;insgesamt;2021;202105;;40;;;
Alkoholunfälle;insgesamt;2021;202106;;49;;;
Alkoholunfälle;insgesamt;2021;202107;;58;;;
Alkoholunfälle;insgesamt;2021;202108;;46;;;
Alkoholunfälle;insgesamt;2021;202109;;46;;;
Alkoholunfälle;insgesamt;2021;202110;;34;;;
Alkoholunfälle;insgesamt;2021;202111;;23;;;
Alkoholunfälle;insgesamt;2021;202112;;13;;;
Alkoholunfälle;insgesamt;2020;Summe;430;434;;-0.92;
Alkoholunfälle;insgesamt;2020;202001;28;22;-20;27.27;37
Alkoholunfälle;insgesamt;2020;202002;40;28;42.86;42.86;38
Alkoholunfälle;insgesamt;2020;202003;27;34;-32.5;-20.59;37
Alkoholunfälle;insgesamt;2020;202004;26;36;-3.7;-27.78;36
Alkoholunfälle;insgesamt;2020;202005;40;39;53.85;Feb 56;36
Alkoholunfälle;insgesamt;2020;202006;49;40;22. Mai;22. Mai;37
Alkoholunfälle;insgesamt;2020;202007;58;48;18.37;20.83;38
Alkoholunfälle;insgesamt;2020;202008;46;31;-20.69;48.39;39
Alkoholunfälle;insgesamt;2020;202009;46;47;0;-2.13;39
Alkoholunfälle;insgesamt;2020;202010;34;45;-26.09;-24.44;38
Alkoholunfälle;insgesamt;2020;202011;23;29;-32.35;-20.69;38
Alkoholunfälle;insgesamt;2020;202012;13;35;-43.48;-62.86;36
Alkoholunfälle;insgesamt;2019;Summe;434;398;;09. Mai;
Alkoholunfälle;insgesamt;2019;201901;22;22;Apr 76;0;33
Alkoholunfälle;insgesamt;2019;201902;28;24;27.27;16.67;34
Alkoholunfälle;insgesamt;2019;201903;34;32;21.43;Jun 25;34
Alkoholunfälle;insgesamt;2019;201904;36;25;Mai 88;44;35
Alkoholunfälle;insgesamt;2019;201905;39;34;Aug 33;14.71;35
Alkoholunfälle;insgesamt;2019;201906;40;39;Feb 56;Feb 56;35
Alkoholunfälle;insgesamt;2019;201907;48;51;20;-5.88;35
Alkoholunfälle;insgesamt;2019;201908;31;40;-35.42;-22.5;34
Alkoholunfälle;insgesamt;2019;201909;47;36;51.61;30.56;35
Alkoholunfälle;insgesamt;2019;201910;45;43;-4.26;Apr 65;35
Alkoholunfälle;insgesamt;2019;201911;29;31;-35.56;-6.45;35
Alkoholunfälle;insgesamt;2019;201912;35;21;20.69;66.67;36
Alkoholunfälle;insgesamt;2018;Summe;398;409;;-2.69;
Alkoholunfälle;insgesamt;2018;201801;22;19;-47.62;15.79;34
Alkoholunfälle;insgesamt;2018;201802;24;22;09. Sep;09. Sep;35
Alkoholunfälle;insgesamt;2018;201803;32;36;33.33;-11.11;34
Alkoholunfälle;insgesamt;2018;201804;25;26;-21.88;-3.85;34
Alkoholunfälle;insgesamt;2018;201805;34;29;36;17.24;35
